drug_id,disease_id,label
DB00634,MESH:D010033,0
DB01235,MESH:D058429,0
DB00620,MESH:D003424,1
DB01182,MESH:D001281,1
DB01413,MESH:D064147,1
DB14473,MESH:D006470,1
DB00927,MESH:D009377,1
DB01234,MESH:D010392,1
DB00199,MESH:D015821,1
DB00645,MESH:D012282,0
DB00537,MESH:D004403,1
DB00373,MESH:D008881,1
DB01171,MESH:D003865,1
DB04845,MESH:D001762,0
DB00959,MESH:D009902,1
DB00062,MESH:D017114,1
DB14738,MESH:D005499,0
DB00678,MESH:D006973,1
DB03085,MESH:D014009,0
DB04890,MESH:D011537,1
DB00745,MESH:D009290,1
DB00526,MESH:D004938,1
DB01294,MESH:D016481,1
DB00020,MESH:D009503,1
DB01183,MESH:D000030,0
DB00181,MESH:D011618,0
DB09459,MESH:D006356,1
DB00994,MESH:D017192,1
DB11581,MESH:D018771,0
DB00482,MESH:D008269,0
DB01280,MESH:D054218,1
DB09341,MESH:D006943,0
DB00295,MESH:D010015,0
DB01112,MESH:D007732,0
DB00563,MESH:D015473,1
DB00939,MESH:D015210,1
DB00367,MESH:D016889,1
DB00373,MESH:D003556,0
DB00986,MESH:D029424,1
DB00282,MESH:D010014,1
DB01127,MESH:D010787,0
DB00945,MESH:D010493,1
DB05039,MESH:D005414,0
DB09053,MESH:D008258,1
DB04564,MESH:D009377,0
DB09034,MESH:D007319,1
DB00493,MESH:D010249,1
DB01212,MESH:D011014,1
DB00231,MESH:D010661,0
DB13985,MESH:D003327,0
DB00233,MESH:D010411,0
DB00070,MESH:D015451,1
DB00829,MESH:D001008,1
DB06212,MESH:D005348,0
DB01048,MESH:D010301,0
DB00950,MESH:D006255,1
DB10583,MESH:D009107,0
DB00330,MESH:D008881,0
DB00470,MESH:D020250,1
DB00107,MESH:C566836,0
DB09108,MESH:D049970,0
DB00063,MESH:D012208,0
DB01100,MESH:D063726,1
DB00308,MESH:D003324,0
DB00588,MESH:D029424,1
DB01132,MESH:D020795,0
DB00887,MESH:D004487,1
DB08880,MESH:D009956,0
DB00853,MESH:D016778,0
DB00019,MESH:D011832,1
DB09067,MESH:D000471,0
DB00525,MESH:D005902,0
DB09570,MESH:D016066,0
DB01622,MESH:D001714,1
DB01017,MESH:C535520,0
DB00058,MESH:D004646,1
DB00708,MESH:D018710,1
DB00668,MESH:D000075,0
DB00982,MESH:D004374,0
DB00632,MESH:D011711,0
DB00620,MESH:D003872,1
DB06710,MESH:D007006,1
DB00017,MESH:D010024,1
DB00443,MESH:D009877,1
DB01618,MESH:D014406,0
DB00182,MESH:D009290,1
DB01058,MESH:D012552,1
DB00602,MESH:D014257,1
DB00477,MESH:D017118,1
DB01017,MESH:D002771,1
DB08938,MESH:D010437,1
DB00987,MESH:D015473,1
DB00241,MESH:D014219,0
DB00531,MESH:D002822,1
DB01400,MESH:C506814,0
DB00580,MESH:D010003,1
DB00013,MESH:D000275,0
DB00318,MESH:C566780,0
DB00359,MESH:D003235,1
DB00601,MESH:D000077,1
DB00663,MESH:D033461,0
DB00024,MESH:D013964,1
DB01282,MESH:D004823,0
DB12329,MESH:D019142,0
DB00897,MESH:D008010,0
DB00370,MESH:D007319,1
DB00531,MESH:D016403,1
DB00773,MESH:D015470,1
DB08933,MESH:D006457,0
DB00433,MESH:D012751,0
DB01109,MESH:D000072,1
DB00303,MESH:C000656,0
DB12245,MESH:D006954,0
DB01044,MESH:D003234,1
DB01069,MESH:D003371,1
DB11563,MESH:D001630,0
DB09031,MESH:D016773,1
DB00684,MESH:D017192,1
DB01057,MESH:D015812,1
DB11761,MESH:D020187,0
DB00999,MESH:D006472,0
DB00016,MESH:D000740,1
DB00860,MESH:D009902,1
DB00787,MESH:D013283,1
DB05311,MESH:D016781,0
DB09555,MESH:D009157,0
DB00857,MESH:D006980,0
DB03796,MESH:D051436,0
DB01222,MESH:D013587,0
DB00475,MESH:D010437,1
DB11613,MESH:D019698,1
DB00068,MESH:D012509,0
DB12377,MESH:D011704,1
DB09089,MESH:D014010,0
DB05351,MESH:D006356,1
DB00563,MESH:D006086,1
DB01012,MESH:D006934,1
DB01175,MESH:D009771,1
DB00022,MESH:D018358,0
DB00570,MESH:D006954,0
DB00755,MESH:D004405,0
