drug_id,disease_id,drug_encoded,disease_encoded,label
DB00003,MESH:D003550,0,263,1
DB00004,MESH:C063419,1,9,1
DB00005,MESH:D013167,2,777,1
DB00005,MESH:D006086,2,387,1
DB00005,MESH:D017497,2,974,1
DB00005,MESH:D001171,2,136,1
DB00005,MESH:D011565,2,697,1
DB00005,MESH:D015535,2,916,1
DB00005,MESH:D017511,2,975,1
DB00005,MESH:D001172,2,137,1
DB00005,MESH:D013262,2,783,1
DB00006,MESH:D054058,3,1112,1
DB00006,MESH:D013927,3,816,1
DB00007,MESH:D001943,4,179,1
DB00007,MESH:D011629,4,702,1
DB00007,MESH:D004715,4,325,1
DB00007,MESH:D007246,4,473,1
DB00007,MESH:D010146,4,632,1
DB00007,MESH:D010262,4,641,1
DB00007,MESH:D007889,4,503,1
DB00007,MESH:D012008,4,718,1
DB00008,MESH:D019694,5,1022,1
DB00008,MESH:D008103,5,520,1
DB00009,MESH:D011655,6,704,1
DB00012,MESH:D000740,7,112,1
DB00013,MESH:D011655,8,704,1
DB00014,MESH:D001943,9,179,1
DB00014,MESH:D004715,9,325,1
DB00015,MESH:D006333,10,397,1
DB00016,MESH:D000740,11,112,1
DB00017,MESH:D006934,12,436,1
DB00017,MESH:D010024,12,627,1
DB00019,MESH:D064146,13,1169,1
DB00019,MESH:D011832,13,713,1
DB00019,MESH:D007239,13,472,1
DB00020,MESH:D009503,14,606,1
DB00022,MESH:D019698,15,1023,1
DB00022,MESH:D008545,15,546,1
DB00023,MESH:D054198,16,1116,1
DB00024,MESH:D013964,17,820,1
DB00025,MESH:D006470,18,405,1
DB00025,MESH:D006467,18,404,1
DB00025,MESH:D019106,18,1009,1
DB00026,MESH:D001171,19,136,1
DB00026,MESH:D056587,19,1137,1
DB00026,MESH:C565798,19,54,1
DB00027,MESH:D015821,20,928,1
DB00028,MESH:D015451,21,905,1
DB00028,MESH:D000077329,21,75,1
DB00028,MESH:D016553,21,941,1
DB00028,MESH:D020277,21,1042,1
DB00028,MESH:D017074,21,960,1
DB00028,MESH:D000081207,21,79,1
DB00028,MESH:D009080,21,564,1
DB00028,MESH:D014923,21,883,1
DB00030,MESH:D003920,22,288,1
DB00030,MESH:D003922,22,289,1
DB00031,MESH:D000072,23,70,1
DB00033,MESH:D006105,24,389,1
DB00035,MESH:D006470,25,405,1
DB00035,MESH:D020790,25,1058,1
DB00035,MESH:D053158,25,1108,1
DB00035,MESH:D059606,25,1157,1
DB00035,MESH:D011141,25,677,1
DB00035,MESH:D004775,25,329,1
DB00036,MESH:D006470,26,405,1
DB00038,MESH:D013921,27,813,1
DB00039,MESH:D013280,28,786,1
DB00040,MESH:D007003,29,456,1
DB00042,MESH:D014103,30,832,1
DB00042,MESH:D012798,30,763,1
DB00043,MESH:D000080,31,77,1
DB00044,MESH:D007006,32,457,1
DB00044,MESH:D007246,32,473,1
DB00046,MESH:D003920,33,288,1
DB00046,MESH:D016883,33,953,1
